timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
2024-03-05T17:49:39,Beauty_s000_0.125s_1,3720d0d9-9a4f-4546-a180-eb0c7031677b,10.311374425888062,7.356136831814941e-06,7.134002246438061e-07,22.5,0.0,5.747886657714844,6.441628634929656e-05,0,1.641505259335493e-05,8.083133894265148e-05,Austria,AUT,carinthia,,,Linux-6.5.0-21-generic-x86_64-with-glibc2.35,3.10.13,2.2.2,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,,,13.5169,46.8129,15.32769775390625,machine,N
2024-03-05T17:49:50,Beauty_s000_0.125s_2,3720d0d9-9a4f-4546-a180-eb0c7031677b,21.298604011535645,7.356136831814941e-06,3.453811727675084e-07,22.5,0.0,5.747886657714844,6.441628634929656e-05,0,1.641505259335493e-05,8.083133894265148e-05,Austria,AUT,carinthia,,,Linux-6.5.0-21-generic-x86_64-with-glibc2.35,3.10.13,2.2.2,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,,,13.5169,46.8129,15.32769775390625,machine,N
2024-03-05T17:50:01,Beauty_s000_0.125s_3,3720d0d9-9a4f-4546-a180-eb0c7031677b,32.39216589927673,7.356136831814941e-06,2.270961705583013e-07,22.5,0.0,5.747886657714844,6.441628634929656e-05,0,1.641505259335493e-05,8.083133894265148e-05,Austria,AUT,carinthia,,,Linux-6.5.0-21-generic-x86_64-with-glibc2.35,3.10.13,2.2.2,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,,,13.5169,46.8129,15.32769775390625,machine,N
2024-03-05T17:50:13,Beauty_s000_0.125s_4,3720d0d9-9a4f-4546-a180-eb0c7031677b,43.77398061752319,7.356136831814941e-06,1.6804815847316842e-07,22.5,0.0,5.747886657714844,6.441628634929656e-05,0,1.641505259335493e-05,8.083133894265148e-05,Austria,AUT,carinthia,,,Linux-6.5.0-21-generic-x86_64-with-glibc2.35,3.10.13,2.2.2,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,,,13.5169,46.8129,15.32769775390625,machine,N
2024-03-05T17:50:24,Beauty_s000_0.125s_5,3720d0d9-9a4f-4546-a180-eb0c7031677b,55.15151023864746,7.356136831814941e-06,1.3338051487591217e-07,22.5,0.0,5.747886657714844,6.441628634929656e-05,0,1.641505259335493e-05,8.083133894265148e-05,Austria,AUT,carinthia,,,Linux-6.5.0-21-generic-x86_64-with-glibc2.35,3.10.13,2.2.2,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,,,13.5169,46.8129,15.32769775390625,machine,N
2024-03-05T17:50:36,Beauty_s000_0.125s_6,3720d0d9-9a4f-4546-a180-eb0c7031677b,66.60047554969788,7.356136831814941e-06,1.104517163143336e-07,22.5,0.0,5.747886657714844,6.441628634929656e-05,0,1.641505259335493e-05,8.083133894265148e-05,Austria,AUT,carinthia,,,Linux-6.5.0-21-generic-x86_64-with-glibc2.35,3.10.13,2.2.2,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,,,13.5169,46.8129,15.32769775390625,machine,N
2024-03-05T17:50:47,Beauty_s000_0.125s_7,3720d0d9-9a4f-4546-a180-eb0c7031677b,78.10294389724731,7.356136831814941e-06,9.418514161889616e-08,22.5,0.0,5.747886657714844,6.441628634929656e-05,0,1.641505259335493e-05,8.083133894265148e-05,Austria,AUT,carinthia,,,Linux-6.5.0-21-generic-x86_64-with-glibc2.35,3.10.13,2.2.2,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,,,13.5169,46.8129,15.32769775390625,machine,N
2024-03-05T17:50:59,Beauty_s000_0.125s_8,3720d0d9-9a4f-4546-a180-eb0c7031677b,89.61650943756104,7.356136831814941e-06,8.208461675178522e-08,22.5,0.0,5.747886657714844,6.441628634929656e-05,0,1.641505259335493e-05,8.083133894265148e-05,Austria,AUT,carinthia,,,Linux-6.5.0-21-generic-x86_64-with-glibc2.35,3.10.13,2.2.2,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,,,13.5169,46.8129,15.32769775390625,machine,N
2024-03-05T17:51:10,Beauty_s000_0.125s_9,3720d0d9-9a4f-4546-a180-eb0c7031677b,101.188942193985,7.356136831814941e-06,7.269704250601618e-08,22.5,0.0,5.747886657714844,6.441628634929656e-05,0,1.641505259335493e-05,8.083133894265148e-05,Austria,AUT,carinthia,,,Linux-6.5.0-21-generic-x86_64-with-glibc2.35,3.10.13,2.2.2,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,,,13.5169,46.8129,15.32769775390625,machine,N
2024-03-05T17:51:22,Beauty_s000_0.125s_10,3720d0d9-9a4f-4546-a180-eb0c7031677b,112.85042643547058,7.356136831814941e-06,6.518483858828199e-08,22.5,0.0,5.747886657714844,6.441628634929656e-05,0,1.641505259335493e-05,8.083133894265148e-05,Austria,AUT,carinthia,,,Linux-6.5.0-21-generic-x86_64-with-glibc2.35,3.10.13,2.2.2,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,,,13.5169,46.8129,15.32769775390625,machine,N
